weight,id,property_id,listing_id,parcel_number,street_address,city_name,postal_code,county_name,contract_date,sale_age,coe_date,listing_status,sale_price,rent,list_price,original_list_price,living_sqft,beds_total,baths_total,lot_size,area_id,area_text,age,year_built,latitude,longitude,latitude6,longitude6,garage_spaces,fp_count,no_of_stories,style,view,days_on_market,listing_date,sale_concessions
0,0,944331259,AN48307798,761-160-21,1145 Cottonwood Lane,Valleybrook,93712,Madera,12/18/25,13,12/24/25,Sold,3560000,9494,2950000,3041000,1764,3,2,5984,466,Creekview Estates,78,1947,37.72,-121.45,37.7204394,-121.4502912,1,,,,Neighborhood,6,12/12/25,0
1,1,901031743,AN37437207,408-316-27,1132 Sunset Ridge Road,Valleybrook,93710,Madera,12/9/25,22,12/9/25,Sold,1321000,2826,1284000,,820,2,1,5396,467,Heritage Gate,106,1921,37.727,-121.451,37.7266604,-121.4505246,1,,,,,24,11/15/25,0
1,2,910597167,AN62989744,974-831-14,1331 Laurel Canyon Drive,Valleybrook,93712,Madera,12/5/25,26,12/5/25,Sold,1675000,4862,1689000,1679000,1350,2,1,5983,467,Heritage Gate,97,1927,37.726,-121.451,37.7257527,-121.4506431,2,,,,,27,11/8/25,0
1,3,960899748,AN65049584,552-181-86,1427 Tanager Way,Valleybrook,93713,Madera,12/1/25,30,12/26/25,Sold,1504000,4441,1526000,1755000,1379,2,2.5,,461,Valleybrook Downtown,2,2024,37.717,-121.435,37.717449,-121.435403,2,,,"Luxury,Modern / High Tech",,27,11/4/25,0
1,4,999990728,AN85345555,651-369-84,1025 Poplar Avenue,Valleybrook,93711,Madera,11/26/25,35,11/26/25,Sold,2290000,5617,2312000,,1240,2,1,5877,466,Creekview Estates,78,1948,37.719,-121.447,37.718852,-121.4474556,1,,,,,28,10/29/25,0
1,5,907868404,AN74481336,930-963-94,100 Ironwood Avenue,Valleybrook,93712,Madera,11/20/25,41,12/22/25,Sold,1002000,2296,1000000,956000,1295,2,2,1230,461,Valleybrook Downtown,39,1988,37.714,-121.426,37.7142049,-121.4255033,2,,,,Neighborhood,29,10/22/25,0
1,6,955384277,AN63667053,529-680-52,716 Sierra Vista Way,Valleybrook,93712,Madera,11/19/25,42,12/12/25,Sold,2425000,7176,2450000,2506000,1510,3,3,6516,465,Eastside Terrace,112,1912,37.72,-121.436,37.719523,-121.4361887,0,,,Craftsman,Neighborhood,1,11/18/25,0
1,7,926665991,AN31307037,202-796-31,100 Laurel Canyon Drive,Valleybrook,93711,Madera,11/14/25,47,12/15/25,Sold,3454000,8343,3264000,3143000,2538,4,4,7512,462,Riverside,121,1907,37.718,-121.421,37.7177401,-121.4207353,2,,,,,23,10/22/25,0
1,8,936632757,AN68496914,597-129-59,105 Cypress Point Drive,Valleybrook,93711,Madera,11/13/25,48,11/21/25,Sold,3669000,10529,3184000,3132000,2330,4,2,6255,460,Central Park,97,1929,37.709,-121.434,37.7087328,-121.4338901,2,,,,,18,10/26/25,0
1,9,983558632,AN43971980,112-569-73,1437 Oak Valley Drive,Valleybrook,93710,Madera,11/12/25,49,11/19/25,Sold,2911000,8405,2304000,2230000,1720,2,2,5979,466,Creekview Estates,85,1941,37.723,-121.459,37.7232252,-121.4588468,2,,,,,5,11/7/25,0
