sale-type,weight,id,property_id,listing_id,parcel_number,street_address,city_name,postal_code,county_name,contract_date,sale_age,coe_date,listing_status,sale_price,rent,list_price,original_list_price,living_sqft,ppsf,beds_total,baths_total,lot_size,area_id,area_text,age,year_built,latitude,longitude,latitude6,longitude6,garage_spaces,fp_count,no_of_stories,style,view,days_on_market,listing_date,sale_concessions
s,0,0,944331259,AN48307798,761-160-21,1145 Cottonwood Lane,Valleybrook,93712,Madera,12/18/25,13,12/24/25,Sold,3560000,9494,2950000,3041000,1764,"2,018.14",3,2,5984,466,Creekview Estates,78,1947,37.72,-121.45,37.7204394,-121.4502912,1,,,,Neighborhood,6,12/12/25,0
c,1,1,901031743,AN37437207,408-316-27,1132 Sunset Ridge Road,Valleybrook,93710,Madera,12/9/25,22,12/9/25,Sold,1321000,2826,1284000,,820,"1,610.98",2,1,5396,467,Heritage Gate,106,1921,37.727,-121.451,37.7266604,-121.4505246,1,,,,,24,11/15/25,0
c,1,2,910597167,AN62989744,974-831-14,1331 Laurel Canyon Drive,Valleybrook,93712,Madera,12/5/25,26,12/5/25,Sold,1675000,4862,1689000,1679000,1350,"1,240.74",2,1,5983,467,Heritage Gate,97,1927,37.726,-121.451,37.7257527,-121.4506431,2,,,,,27,11/8/25,0
c,1,3,960899748,AN65049584,552-181-86,1427 Tanager Way,Valleybrook,93713,Madera,12/1/25,30,12/26/25,Sold,1504000,4441,1526000,1755000,1379,"1,090.65",2,2.5,3000,461,Valleybrook Downtown,2,2024,37.717,-121.435,37.717449,-121.435403,2,,,"Luxury,Modern / High Tech",,27,11/4/25,0
c,1,4,999990728,AN85345555,651-369-84,1025 Poplar Avenue,Valleybrook,93711,Madera,11/26/25,35,11/26/25,Sold,2290000,5617,2312000,,1240,"1,846.77",2,1,5877,466,Creekview Estates,78,1948,37.719,-121.447,37.718852,-121.4474556,1,,,,,28,10/29/25,0
c,1,5,907868404,AN74481336,930-963-94,100 Ironwood Avenue,Valleybrook,93712,Madera,11/20/25,41,12/22/25,Sold,1002000,2296,1000000,956000,1295,773.75,2,2,1230,461,Valleybrook Downtown,39,1988,37.714,-121.426,37.7142049,-121.4255033,2,,,,Neighborhood,29,10/22/25,0
c,1,6,955384277,AN63667053,529-680-52,716 Sierra Vista Way,Valleybrook,93712,Madera,11/19/25,42,12/12/25,Sold,2425000,7176,2450000,2506000,1510,"1,605.96",3,3,6516,465,Eastside Terrace,112,1912,37.72,-121.436,37.719523,-121.4361887,0,,,Craftsman,Neighborhood,1,11/18/25,0
c,1,7,926665991,AN31307037,202-796-31,100 Laurel Canyon Drive,Valleybrook,93711,Madera,11/14/25,47,12/15/25,Sold,3454000,8343,3264000,3143000,2538,"1,360.91",4,4,7512,462,Riverside,121,1907,37.718,-121.421,37.7177401,-121.4207353,2,,,,,23,10/22/25,0
c,1,8,936632757,AN68496914,597-129-59,105 Cypress Point Drive,Valleybrook,93711,Madera,11/13/25,48,11/21/25,Sold,3669000,10529,3184000,3132000,2330,"1,574.68",4,2,6255,460,Central Park,97,1929,37.709,-121.434,37.7087328,-121.4338901,2,,,,,18,10/26/25,0
c,1,9,983558632,AN43971980,112-569-73,1437 Oak Valley Drive,Valleybrook,93710,Madera,11/12/25,49,11/19/25,Sold,2911000,8405,2304000,2230000,1720,"1,692.44",2,2,5979,466,Creekview Estates,85,1941,37.723,-121.459,37.7232252,-121.4588468,2,,,,,5,11/7/25,0
c,1,11,901843251,AN56073103,810-923-24,1447 Fox Run Court,Valleybrook,93712,Madera,11/10/25,51,12/19/25,Sold,855000,1861,887000,978000,1377,620.92,2,2,1334,461,Valleybrook Downtown,50,1976,37.718,-121.435,37.717736,-121.4349656,2,,,,,20,10/21/25,0
c,1,10,948039455,AN64996550,402-264-15,1329 Primrose Lane,Valleybrook,93711,Madera,11/10/25,51,12/2/25,Sold,2858000,8249,2454000,2827000,2199,"1,299.68",4,2.5,5993,467,Heritage Gate,99,1923,37.725,-121.452,37.7253627,-121.4516578,1,,,,,15,10/26/25,0
c,1,12,902047721,AN93610257,673-626-23,1438 Ridgeline Drive,Valleybrook,93710,Madera,11/6/25,55,11/6/25,Sold,2456000,6718,2478000,,1717,"1,430.40",3,2,5767,465,Eastside Terrace,102,1922,37.72,-121.444,37.7197042,-121.4440899,2,,,Bungalow,,27,10/10/25,0
c,1,13,914679315,AN44727276,327-622-76,1211 Poplar Avenue,Valleybrook,93710,Madera,10/28/25,64,11/26/25,Sold,788000,1582,807000,785000,787,"1,001.27",2,1,1000,467,Heritage Gate,58,1970,37.724,-121.449,37.7238634,-121.4489725,1,,,,,13,10/15/25,0
c,1,14,939386369,AN15226275,979-209-17,739 Osprey Way,Valleybrook,93713,Madera,10/25/25,67,10/31/25,Sold,1189000,2515,1187000,1210000,1197,993.32,2,2.5,1000,465,Eastside Terrace,43,1981,37.718,-121.441,37.7181414,-121.4413749,2,,,Contemporary,Neighborhood,5,10/20/25,0
c,1,15,976670571,AN92427437,376-928-72,554 Golden Eagle Lane,Valleybrook,93710,Madera,10/19/25,73,11/17/25,Sold,840000,1818,934000,1083000,1144,734.27,2,2,1196,461,Valleybrook Downtown,30,1996,37.716,-121.437,37.7159805,-121.4373322,1,,,Mediterranean,Other,17,10/2/25,0
c,1,17,930056261,AN78123659,390-374-94,1905 Willow Springs Drive,Valleybrook,93712,Madera,10/8/25,84,10/17/25,Sold,4629000,12642,4892000,4880000,3610,"1,282.27",5,4.5,10235,466,Creekview Estates,22,2002,37.718,-121.449,37.7179425,-121.4494649,2,,,"Custom,Traditional",,34,9/4/25,0
c,1,16,911378739,AN55406344,422-511-31,1530 Valley Oak Drive,Valleybrook,93710,Madera,10/8/25,84,10/30/25,Sold,2590000,7191,2482000,2429000,1900,"1,363.16",3,3,7703,471,Summit Terrace,75,1950,37.714,-121.477,37.7139387,-121.4774097,2,,,,,27,9/11/25,0
c,1,18,986159185,AN69322805,278-867-37,834 Copper Creek Way,Valleybrook,93710,Madera,10/7/25,85,10/29/25,Sold,3460000,9612,3593000,3648000,2990,"1,157.19",4,4,6266,460,Central Park,101,1923,37.718,-121.443,37.71815,-121.4433431,2,,,,,13,9/24/25,0
